30/01/1999;14;20;40;58;68;84;88;00
03/02/1999;45;67;70;80;81;89;03;00
06/02/1999;09;10;26;30;44;54;62;00
10/02/1999;04;08;12;17;19;80;84;00
13/02/1999;12;20;23;34;67;87;46;00
17/02/1999;24;45;49;63;78;83;04;00
20/02/1999;04;26;59;63;69;74;86;00
24/02/1999;17;19;32;41;52;87;23;00
27/02/1999;06;07;42;55;75;88;67;00
03/03/1999;40;41;51;62;66;80;77;00
06/03/1999;27;41;44;50;68;73;21;00
10/03/1999;11;20;56;69;72;76;32;00
13/03/1999;06;18;20;34;72;90;17;00
17/03/1999;03;07;14;45;68;70;39;00
20/03/1999;43;71;80;84;88;89;73;00
24/03/1999;04;26;34;61;76;81;67;00
27/03/1999;07;18;27;80;81;83;87;00
31/03/1999;25;60;64;71;75;85;18;00
03/04/1999;33;41;47;48;60;80;17;00
07/04/1999;13;27;40;46;70;84;28;00
10/04/1999;04;11;14;17;25;32;61;00
14/04/1999;34;63;70;77;83;90;43;00
17/04/1999;04;06;25;32;73;83;64;00
21/04/1999;20;53;55;61;64;74;46;00
24/04/1999;20;22;33;44;50;74;60;00
28/04/1999;01;51;53;55;73;86;41;00
03/05/1999;08;49;50;65;66;69;75;00
05/05/1999;03;10;28;71;81;88;84;00
08/05/1999;11;14;15;30;68;81;82;00
12/05/1999;03;07;10;37;57;86;49;00
15/05/1999;07;33;54;72;73;90;24;00
19/05/1999;10;23;35;64;74;90;52;00
22/05/1999;03;28;38;43;73;75;01;00
26/05/1999;03;04;13;16;59;70;22;00
29/05/1999;10;34;44;49;62;79;47;00
02/06/1999;02;16;17;65;69;72;60;00
05/06/1999;09;36;52;76;77;90;54;00
09/06/1999;16;32;35;45;72;77;06;00
12/06/1999;32;35;57;74;79;84;70;00
16/06/1999;05;20;29;41;56;86;81;00
19/06/1999;13;23;31;58;67;68;22;00
23/06/1999;31;36;37;71;86;90;13;00
26/06/1999;08;19;23;37;65;77;48;00
30/06/1999;13;22;44;74;77;87;76;00
03/07/1999;03;06;07;53;65;90;14;00
07/07/1999;38;46;63;82;83;87;01;00
10/07/1999;01;04;42;67;75;77;31;00
14/07/1999;04;48;60;63;84;88;62;00
17/07/1999;05;22;35;38;74;82;36;00
21/07/1999;11;19;26;58;67;89;01;00
24/07/1999;13;16;23;52;67;78;76;00
28/07/1999;13;64;68;84;89;90;85;00
31/07/1999;05;34;44;73;77;83;65;00
04/08/1999;12;23;46;54;78;90;85;00
07/08/1999;04;16;29;58;69;88;54;00
11/08/1999;10;19;24;29;42;67;39;00
14/08/1999;45;64;73;80;81;85;11;00
18/08/1999;13;16;51;56;65;67;35;00
21/08/1999;01;32;37;63;67;69;90;00
25/08/1999;01;25;28;39;51;89;62;00
28/08/1999;07;12;14;16;24;45;54;00
01/09/1999;05;19;26;32;67;87;65;00
04/09/1999;38;40;41;69;76;81;78;00
08/09/1999;15;38;48;74;75;80;81;00
11/09/1999;25;40;57;59;76;82;55;00
15/09/1999;17;20;27;29;72;73;85;00
18/09/1999;12;15;33;60;79;88;08;00
22/09/1999;01;11;40;50;53;80;68;00
25/09/1999;06;27;37;38;47;79;23;00
29/09/1999;04;16;27;55;67;72;03;00
02/10/1999;06;10;38;48;49;65;61;00
06/10/1999;38;58;61;64;82;87;68;00
09/10/1999;12;35;40;59;78;80;44;00
13/10/1999;06;24;30;34;37;71;82;00
16/10/1999;03;35;45;47;54;70;30;00
20/10/1999;22;26;58;60;67;88;49;00
23/10/1999;24;46;57;73;79;81;77;00
27/10/1999;06;25;34;72;76;82;12;00
30/10/1999;16;21;29;39;70;90;76;00
03/11/1999;19;42;64;68;72;86;45;00
06/11/1999;06;07;37;67;80;87;22;00
10/11/1999;21;45;55;61;73;80;77;00
13/11/1999;03;23;61;82;83;88;64;00
17/11/1999;06;51;73;78;80;81;34;00
20/11/1999;20;31;45;62;76;81;51;00
24/11/1999;12;16;24;48;53;58;85;00
27/11/1999;14;20;57;79;85;88;69;00
01/12/1999;01;13;24;39;44;45;83;00
04/12/1999;13;39;62;63;66;76;11;00
09/12/1999;20;32;37;44;75;88;72;00
11/12/1999;06;27;50;57;77;80;22;00
15/12/1999;18;21;28;35;41;85;66;00
18/12/1999;13;42;57;61;63;82;45;00
22/12/1999;06;09;32;47;59;60;83;00
27/12/1999;20;21;63;71;75;79;15;00
29/12/1999;14;15;20;42;70;88;28;00
03/01/2000;17;38;48;51;55;62;59;00
05/01/2000;02;13;31;37;38;82;39;00
08/01/2000;06;15;47;71;75;86;78;00
12/01/2000;03;15;48;74;76;81;34;00
15/01/2000;11;21;22;50;59;63;42;00
19/01/2000;20;29;39;54;57;71;28;00
22/01/2000;15;21;55;60;70;90;34;00
26/01/2000;02;57;62;63;73;87;55;00
29/01/2000;55;65;68;70;73;80;89;00
02/02/2000;12;13;28;30;47;63;35;00
05/02/2000;17;48;52;64;86;87;60;00
09/02/2000;06;36;49;51;52;76;35;00
12/02/2000;04;33;67;71;81;82;72;00
16/02/2000;08;27;39;51;54;90;71;00
19/02/2000;25;28;37;51;54;81;04;00
23/02/2000;44;53;61;65;86;89;49;00
26/02/2000;04;35;48;57;69;90;34;00
01/03/2000;27;32;37;70;82;88;52;00
04/03/2000;07;19;29;33;40;88;80;00
08/03/2000;04;13;15;20;32;41;28;00
11/03/2000;28;42;46;56;74;87;43;00
15/03/2000;08;17;35;61;78;89;09;00
18/03/2000;08;58;76;81;85;87;65;00
22/03/2000;02;19;22;57;65;89;61;00
25/03/2000;15;27;47;51;62;63;20;00
29/03/2000;01;06;12;26;57;70;28;00
01/04/2000;03;09;30;58;60;88;37;00
05/04/2000;10;17;33;38;67;71;73;00
08/04/2000;03;12;26;47;54;87;90;00
12/04/2000;18;24;45;58;62;80;04;00
15/04/2000;02;27;33;47;53;86;65;00
19/04/2000;05;53;64;74;77;88;78;00
22/04/2000;24;35;39;48;82;85;66;00
26/04/2000;17;51;67;70;82;86;49;00
29/04/2000;08;42;45;59;68;88;09;00
03/05/2000;01;13;37;53;62;71;09;00
06/05/2000;23;26;34;56;66;85;44;00
10/05/2000;09;12;19;39;82;86;69;00
13/05/2000;32;38;40;59;62;79;02;00
17/05/2000;11;14;19;32;78;89;09;00
