28/11/1998	190	12	15	40	50	66	88	70	0	0
02/12/1998	191	9	23	36	66	67	77	87	0	0
05/12/1998	192	27	35	47	48	59	79	77	0	0
09/12/1998	193	1	11	42	43	61	81	29	0	0
12/12/1998	194	9	37	39	40	42	86	2	0	0
16/12/1998	195	22	43	56	71	77	83	35	0	0
19/12/1998	196	3	6	13	28	49	50	33	0	0
23/12/1998	197	3	9	14	26	47	79	81	0	0
28/12/1998	198	14	43	46	65	71	82	22	0	0
30/12/1998	199	30	36	45	49	63	89	46	0	0
02/01/1999	200	10	12	54	58	72	88	23	0	0
07/01/1999	201	34	43	44	45	53	58	64	0	0
09/01/1999	202	1	6	13	23	53	77	20	0	0
13/01/1999	203	18	23	45	51	61	86	29	0	0
16/01/1999	204	7	9	12	37	86	90	87	0	0
20/01/1999	205	1	43	45	48	51	56	18	0	0
23/01/1999	206	36	45	46	47	74	75	69	0	0
27/01/1999	207	8	48	65	72	83	88	67	0	0
30/01/1999	208	14	20	40	58	68	84	88	0	0
03/02/1999	209	45	67	70	80	81	89	3	0	0
06/02/1999	210	9	10	26	30	44	54	62	0	0
10/02/1999	211	4	8	12	17	19	80	84	0	0
13/02/1999	212	12	20	23	34	67	87	46	0	0
17/02/1999	213	24	45	49	63	78	83	4	0	0
20/02/1999	214	4	26	59	63	69	74	86	0	0
24/02/1999	215	17	19	32	41	52	87	23	0	0
27/02/1999	216	6	7	42	55	75	88	67	0	0
03/03/1999	217	40	41	51	62	66	80	77	0	0
06/03/1999	218	27	41	44	50	68	73	21	0	0
10/03/1999	219	11	20	56	69	72	76	32	0	0
13/03/1999	220	6	18	20	34	72	90	17	0	0
17/03/1999	221	3	7	14	45	68	70	39	0	0
20/03/1999	222	43	71	80	84	88	89	73	0	0
24/03/1999	223	4	26	34	61	76	81	67	0	0
27/03/1999	224	7	18	27	80	81	83	87	0	0
31/03/1999	225	25	60	64	71	75	85	18	0	0
03/04/1999	226	33	41	47	48	60	80	17	0	0
07/04/1999	227	13	27	40	46	70	84	28	0	0
10/04/1999	228	4	11	14	17	25	32	61	0	0
14/04/1999	229	34	63	70	77	83	90	43	0	0
17/04/1999	230	4	6	25	32	73	83	64	0	0
21/04/1999	231	20	53	55	61	64	74	46	0	0
24/04/1999	232	20	22	33	44	50	74	60	0	0
28/04/1999	233	1	51	53	55	73	86	41	0	0
03/05/1999	234	8	49	50	65	66	69	75	0	0
05/05/1999	235	3	10	28	71	81	88	84	0	0
08/05/1999	236	11	14	15	30	68	81	82	0	0
12/05/1999	237	3	7	10	37	57	86	49	0	0
15/05/1999	238	7	33	54	72	73	90	24	0	0
19/05/1999	239	10	23	35	64	74	90	52	0	0
22/05/1999	240	3	28	38	43	73	75	1	0	0
26/05/1999	241	3	4	13	16	59	70	22	0	0
29/05/1999	242	10	34	44	49	62	79	47	0	0
02/06/1999	243	2	16	17	65	69	72	60	0	0
05/06/1999	244	9	36	52	76	77	90	54	0	0
09/06/1999	245	16	32	35	45	72	77	6	0	0
12/06/1999	246	32	35	57	74	79	84	70	0	0
16/06/1999	247	5	20	29	41	56	86	81	0	0
19/06/1999	248	13	23	31	58	67	68	22	0	0
23/06/1999	249	31	36	37	71	86	90	13	0	0
26/06/1999	250	8	19	23	37	65	77	48	0	0
30/06/1999	251	13	22	44	74	77	87	76	0	0
03/07/1999	252	3	6	7	53	65	90	14	0	0
07/07/1999	253	38	46	63	82	83	87	1	0	0
10/07/1999	254	1	4	42	67	75	77	31	0	0
14/07/1999	255	4	48	60	63	84	88	62	0	0
17/07/1999	256	5	22	35	38	74	82	36	0	0
21/07/1999	257	11	19	26	58	67	89	1	0	0
24/07/1999	258	13	16	23	52	67	78	76	0	0
28/07/1999	259	13	64	68	84	89	90	85	0	0
